PLR	FEC	PPS	ELossMin	ELossAvg	ELossMax
0.035	0.045	333	0.97539	0.985048	0.994298
0.035	0.155	333	0.9991	0.999985	1
0.035	0.005	333	0.958884	0.966807	0.976291
0.035	0.015	333	0.961285	0.970879	0.979292
0.035	0.195	333	0.9991	0.999952	1
0.035	0.035	333	0.968487	0.979273	0.985894
0.035	0.025	333	0.963085	0.974241	0.983493
0.035	0.175	333	0.9994	0.999973	1
0.04	0.07	333	0.984694	0.993448	1
0.04	0.13	333	0.9994	0.999922	1
0.04	0.08	333	0.987095	0.996663	1
0.04	0.06	333	0.978391	0.989292	0.997299
0.04	0.14	333	0.9991	0.999952	1
0.04	0.18	333	0.9994	0.999982	1
0.04	0.03	333	0.960984	0.970822	0.978391
0.04	0.11	333	0.997899	0.999805	1
0.04	0.19	333	0.9997	0.999991	1
0.04	0.17	333	0.9994	0.999973	1
0.04	0.05	333	0.97389	0.982902	0.993697
0.04	0.04	333	0.963085	0.975787	0.984694
0.04	0.09	333	0.993397	0.998484	1
0.04	0.15	333	0.9988	0.999907	1
0.04	0.01	333	0.952581	0.963638	0.97389
0.04	0.12	333	0.998199	0.999904	1
0.04	0.1	333	0.996098	0.999511	1
0.04	0.16	333	0.998499	0.999931	1
0.04	0	333	0.95018	0.959847	0.969988
0.04	0.02	333	0.957983	0.966372	0.97479
0.04	0.075	333	0.988602	0.995759	1
0.04	0.135	333	0.9991	0.999952	1
0.04	0.085	333	0.993097	0.998307	1
0.04	0.175	333	0.9994	0.99997	1
0.04	0.195	333	0.9994	0.999991	1
0.04	0.165	333	0.9994	0.999967	1
0.04	0.115	333	0.995798	0.999805	1
0.04	0.155	333	0.9991	0.999979	1
0.04	0.055	333	0.978091	0.985699	0.994898
0.04	0.005	333	0.954082	0.961456	0.970288
0.04	0.125	333	0.9991	0.999916	1
0.04	0.065	333	0.982293	0.991342	0.9988
0.04	0.045	333	0.967887	0.979826	0.990096
0.04	0.025	333	0.958283	0.968659	0.979292
0.04	0.185	333	0.9994	0.99997	1
0.04	0.145	333	0.9988	0.999982	1
0.04	0.035	333	0.961896	0.97367	0.981098
0.04	0.105	333	0.995198	0.999619	1
0.04	0.095	333	0.994598	0.999184	1
0.04	0.015	333	0.957683	0.965567	0.97569
0.045	0.16	333	0.997899	0.999901	1
0.045	0.09	333	0.990696	0.997602	1
0.045	0.13	333	0.997299	0.999874	1
0.045	0.02	333	0.953481	0.961104	0.971789
0.045	0.1	333	0.993697	0.999058	1
0.045	0.19	333	0.9997	0.999988	1
0.045	0.18	333	0.9994	0.999976	1
0.045	0.14	333	0.9988	0.999931	1
0.045	0.15	333	0.9988	0.999883	1
0.045	0.05	333	0.966387	0.977305	0.987995
0.045	0.11	333	0.995798	0.999604	1
0.045	0.08	333	0.985594	0.994748	1
0.045	0.12	333	0.9979	0.999769	1
